run,phase,end_cm,steps,fps,physics_hz,cpu_ms,p95_ms,max_ms,assembly_ms,linear_ms,friction_ms,newton,factors,assemblies,nodes,frames_over_33ms,fallbacks
1,wire,10,136,58.687,59.986,3.595,4.5,69.9,1.457,0.515,0.069,1.846,1.919,3.706,17.934,1,0
1,wire,20,136,60.001,53.329,10.918,20.4,142.1,4.451,3.893,0.362,5.25,14.824,16.382,32.463,0,1
1,wire,30,137,60.001,45.859,15.859,27.4,265,6.717,5.769,0.546,5.445,16.285,18,52.029,0,2
1,wire,40,136,59.999,23.328,30.713,209.2,440.9,14.913,10.576,0.739,6.544,24.912,33.029,64.206,0,7
1,wire,50,136,60.003,43.337,16.99,26.6,34.7,6.744,6.724,0.613,4.625,12.794,12.757,75.618,0,0
1,wire,60,138,59.999,39.071,18.445,32.6,78.9,7.571,6.9,0.657,4.312,10.196,11.819,88.391,0,0
1,catheter,10,115,60.002,29.858,24.243,33.9,41.6,10.447,8.524,1.014,4.704,9.043,12.209,102.417,0,0
1,catheter,20,115,60.001,29.787,23.9,33.7,53.4,10.519,8.302,0.863,3.948,8.722,11.496,106.122,0,1
1,catheter,30,116,60.001,35.904,19.627,26.7,50.7,8.645,6.209,0.797,3.741,6.353,10.129,97.741,0,1
1,catheter,40,115,59.999,34.927,20.136,28.5,66.4,8.958,6.061,0.82,3.739,6.087,10.73,96.278,0,1
1,catheter,50,115,60.001,32.703,21.733,29.6,42.4,10.023,6.329,0.895,3.609,5.243,9.591,105.513,0,0
1,catheter,60,117,60,28.598,24.837,63.9,88.1,11.079,8.141,1.014,4,7.53,10.385,106.897,0,0
2,wire,10,136,60.002,60.055,3.351,5.3,17.6,1.057,0.687,0.081,2.022,2.522,4.14,18.36,0,0
2,wire,20,136,59.998,56.816,10.011,24.2,41.6,3.91,3.731,0.321,4.993,15.051,13.919,32.588,0,0
2,wire,30,137,60,42.835,16.802,25.8,224.1,7.285,6.07,0.565,5.606,18.277,19.518,51.058,0,2
2,wire,40,136,60.001,40.214,18.16,27.5,262.3,7.931,6.315,0.577,5.324,14.397,17.743,63.743,0,3
2,wire,50,136,59.671,44.756,16.065,27.8,52.3,6.578,5.929,0.576,4.441,11.037,12.309,75.449,1,0
2,wire,60,138,60,28.984,25.37,44.9,370.7,12.496,7.596,0.657,4.971,11.899,21.855,85.333,0,3
2,catheter,10,115,60.001,14.014,52.218,159.2,179.8,17.193,28.322,1.177,6.939,43.452,19.209,104.774,0,2
2,catheter,20,115,60.001,26.448,27.129,39.6,55.9,11.278,10.708,0.823,4.539,13.696,12.652,102.904,0,0
2,catheter,30,116,59.999,26.422,27.206,38.3,45.9,11.47,10.753,0.847,4.741,13.707,12.655,99.431,0,0
2,catheter,40,115,60,29.547,24.235,33,68.8,10.567,8.755,0.807,4.513,10.6,11.904,98.783,0,1
2,catheter,50,115,60.001,21.352,34.098,63.7,99.6,13.017,15.567,0.977,5.974,22.965,16.217,90.609,0,1
2,catheter,60,117,60,28.095,25.803,73.2,131.5,10.333,10.411,0.799,5.094,14.462,13.291,93.556,0,0
3,wire,10,136,59.114,60.15,3.271,4.1,53.8,1.295,0.564,0.071,2.022,2.522,4.14,18.404,1,0
3,wire,20,136,60.002,55.282,9.915,20,28.9,3.824,3.832,0.295,5.015,15.022,13.794,32.779,0,0
3,wire,30,137,60.001,40.647,17.409,28.6,176.9,7.509,6.254,0.614,5.584,15.606,17.219,50.226,0,1
3,wire,40,136,59.998,34.436,20.969,33.4,276,9.843,7.161,0.649,5.809,15.676,20.669,62.169,0,2
3,wire,50,136,60.001,29.529,24.852,35.6,263,11.751,8.712,0.707,5.25,16.331,22.265,73.199,0,4
